timestamp,eventName,bucketName,objectKey,sourceIPAddress,awsRegion,userType,userName,principalId,accessKeyId,userAgent
2020-09-14 01:00:33+00:00,ListObjects,mordors3stack-s3bucket-llp2yingx64a,,1.2.3.4,us-east-1,AssumedRole,,AROA5FLZVX4OAMSW6BCRH:i-0317f6c6b66ae9c40,ASIA5FLZVX4OPVKKVBMX,[aws-cli/1.18.136 Python/3.8.5 Darwin/19.5.0 botocore/1.17.59]
2020-09-14 01:00:53+00:00,ListObjects,mordors3stack-s3bucket-llp2yingx64a,,1.2.3.4,us-east-1,AssumedRole,,AROA5FLZVX4OAMSW6BCRH:i-0317f6c6b66ae9c40,ASIA5FLZVX4OPVKKVBMX,[aws-cli/1.18.136 Python/3.8.5 Darwin/19.5.0 botocore/1.17.59]
2020-09-14 01:01:04+00:00,ListObjects,mordors3stack-s3bucket-llp2yingx64a,,1.2.3.4,us-east-1,AssumedRole,,AROA5FLZVX4OAMSW6BCRH:i-0317f6c6b66ae9c40,ASIA5FLZVX4OPVKKVBMX,[aws-cli/1.18.136 Python/3.8.5 Darwin/19.5.0 botocore/1.17.59]
2020-09-14 01:02:34+00:00,GetObject,mordors3stack-s3bucket-llp2yingx64a,ring.txt,1.2.3.4,us-east-1,AssumedRole,,AROA5FLZVX4OAMSW6BCRH:i-0317f6c6b66ae9c40,ASIA5FLZVX4OPVKKVBMX,[aws-cli/1.18.136 Python/3.8.5 Darwin/19.5.0 botocore/1.17.59]
2020-09-14 01:02:34+00:00,ListObjects,mordors3stack-s3bucket-llp2yingx64a,,1.2.3.4,us-east-1,AssumedRole,,AROA5FLZVX4OAMSW6BCRH:i-0317f6c6b66ae9c40,ASIA5FLZVX4OPVKKVBMX,[aws-cli/1.18.136 Python/3.8.5 Darwin/19.5.0 botocore/1.17.59]
2020-09-14 01:01:50+00:00,ListBuckets,,,1.2.3.4,us-east-1,AssumedRole,,AROA5FLZVX4OAMSW6BCRH:i-0317f6c6b66ae9c40,ASIA5FLZVX4OPVKKVBMX,[aws-cli/1.18.136 Python/3.8.5 Darwin/19.5.0 botocore/1.17.59]
2020-09-14 01:00:04+00:00,ListBuckets,,,1.2.3.4,us-east-1,AssumedRole,,AROA5FLZVX4OAMSW6BCRH:i-0317f6c6b66ae9c40,ASIA5FLZVX4OPVKKVBMX,[aws-cli/1.18.136 Python/3.8.5 Darwin/19.5.0 botocore/1.17.59]
2020-09-14 01:12:40+00:00,ListObjects,mordors3stack-s3bucket-llp2yingx64a,,1.2.3.4,us-east-1,AssumedRole,,AROA5FLZVX4OAMSW6BCRH:i-0317f6c6b66ae9c40,ASIA5FLZVX4OPVKKVBMX,[aws-cli/1.18.136 Python/3.8.5 Darwin/19.5.0 botocore/1.17.59]
2020-09-14 01:12:43+00:00,ListObjects,mordors3stack-s3bucket-llp2yingx64a,,1.2.3.4,us-east-1,AssumedRole,,AROA5FLZVX4OAMSW6BCRH:i-0317f6c6b66ae9c40,ASIA5FLZVX4OPVKKVBMX,[aws-cli/1.18.136 Python/3.8.5 Darwin/19.5.0 botocore/1.17.59]
2020-09-14 01:13:20+00:00,ListObjects,mordors3stack-s3bucket-llp2yingx64a,,1.2.3.4,us-east-1,AssumedRole,,AROA5FLZVX4OAMSW6BCRH:i-0317f6c6b66ae9c40,ASIA5FLZVX4OPVKKVBMX,[aws-cli/1.18.136 Python/3.8.5 Darwin/19.5.0 botocore/1.17.59]
2020-09-14 01:13:20+00:00,GetObject,mordors3stack-s3bucket-llp2yingx64a,ring.txt,1.2.3.4,us-east-1,AssumedRole,,AROA5FLZVX4OAMSW6BCRH:i-0317f6c6b66ae9c40,ASIA5FLZVX4OPVKKVBMX,[aws-cli/1.18.136 Python/3.8.5 Darwin/19.5.0 botocore/1.17.59]
